CAV,r,m,v,,
1.692639865,0.640902224,-0.314285714,-0.015512702,174,6
2.868885262,0.623532139,-0.314285714,0.104353985,175,6
1.651274109,0.590531263,-0.314285714,0.138969263,176,6
3.956902571,0.616929741,-0.314285714,-0.152173471,177,6
2.798722504,0.622351671,-0.314285714,-0.201876111,178,6
2.341231716,0.574494292,-0.314285714,-0.219813961,179,6
3.098174536,0.587954613,-0.314285714,0.056352968,180,6
1.970994518,0.570666538,-0.314285714,0.327816172,181,6
2.128203865,0.634797065,-0.314285714,-0.315072859,182,6
1.886383225,0.586337935,-0.314285714,-0.226736799,183,6
0.927352358,0.651135971,-0.314285714,0.746452675,184,6
2.642975526,0.627989275,-0.314285714,0.174920113,185,6
1.756414288,0.651250424,-0.314285714,-0.055581466,186,6
0.837702132,0.924298372,-0.314285714,0.371660406,187,6
0.929790332,0.897765552,-0.314285714,0.102718597,188,6
0.777945601,0.917299123,-0.314285714,0.101868898,189,6
1.506354471,0.896325899,-0.314285714,0.226905614,190,6
1.890994953,0.860604248,-0.314285714,0.080377185,191,6
0.909429369,0.84768047,-0.314285714,0.5189383,192,6
1.02185645,0.838065545,-0.314285714,0.097476041,193,6
1.475607438,0.816775961,-0.314285714,-0.092718812,194,6
1.267327135,0.79388683,-0.314285714,0.010079292,195,6
1.993613524,0.807843431,-0.314285714,0.032832874,196,6
1.996864715,0.802507245,-0.314285714,0.100955605,197,6
1.593833434,0.775284586,-0.314285714,0.092996765,198,6
1.868447564,0.789951519,-0.314285714,-0.046869256,199,6
1.836599295,0.734156681,-0.314285714,0.117478829,200,6
1.62746882,0.738164348,-0.314285714,0.063160088,201,6
1.096690826,0.759458411,-0.314285714,0.141198437,202,6
1.900526395,0.689059417,-0.314285714,-0.352141716,203,6
1.995212333,0.692409378,-0.314285714,-0.435344298,204,6
0.906521715,0.674303835,-0.314285714,0.624540823,205,6
1.572017648,0.684205674,-0.314285714,0.071788494,206,6
1.313438812,0.716954053,-0.314285714,0.316097452,207,6
0.897380083,0.779460776,-0.314285714,0.247495256,208,6
1.500075281,0.757912508,-0.314285714,-0.342470476,209,6
0.841636807,0.7538705,-0.314285714,0.304716899,210,6
0.646968521,0.790746653,-0.314285714,0.454567478,211,6
1.753822783,0.799549533,-0.314285714,-0.553437866,212,6
0.83983366,0.817919132,-0.314285714,0.339330534,213,6
2.475026843,0.811659076,-0.314285714,-0.625489904,214,6
2.620021181,0.781018619,-0.314285714,-0.262451064,215,6
0.959080043,0.803344031,-0.314285714,0.212276275,216,6
1.922405585,0.778602814,-0.314285714,-0.304722048,217,6
2.042169477,0.744844356,-0.314285714,-0.428875972,218,6
1.300530769,0.785561298,-0.314285714,0.156196007,219,6
0.717793727,0.81696674,-0.314285714,0.34545599,220,6
0.792566014,0.819953096,-0.314285714,0.179895561,221,6
1.505380125,0.842935517,-0.314285714,-0.105241991,222,6
0.582587137,0.974010654,-0.314285714,0.265224271,223,6
0.521713899,0.989082532,-0.314285714,0.396138751,224,6
0.748126792,0.964055091,-0.314285714,0.050777534,225,6
1.35458592,0.919190884,-0.314285714,0.178617334,226,6
2.288495434,0.956557788,-0.314285714,0.059119196,227,6
1.289525207,0.85374228,-0.314285714,0.307286736,228,6
1.118012572,0.878606611,-0.314285714,0.28315261,229,6
1.910707749,0.900759872,-0.314285714,0.379741687,230,6
1.64159651,0.817752177,-0.314285714,0.051455923,231,6
1.530173578,0.769819234,-0.314285714,0.204091338,232,6
1.472484408,0.760275281,-0.314285714,0.111110093,233,6
1.214213329,0.760751061,-0.314285714,0.172814635,234,6
1.529366081,0.728265072,-0.314285714,0.145727317,235,6
1.78674645,0.776729101,-0.314285714,0.393224514,236,6
1.596882179,0.676514878,-0.657142857,0.024039586,237,7
1.514230014,0.642635648,-0.657142857,0.283230671,238,7
2.195370147,0.638160165,-0.657142857,-0.082149165,239,7
1.039003452,0.653046449,-0.657142857,0.024757839,240,7
1.892433549,0.638282475,-0.657142857,0.0379493,241,7
1.336727744,0.631360395,-0.657142857,-0.396144089,242,7
1.639644514,0.625500118,-0.657142857,-0.37610716,243,7
0.825607505,0.675237388,-0.657142857,-0.015512702,244,7
1.807698727,0.646899479,-0.657142857,0.104353985,245,7
1.262119496,0.65281595,-0.657142857,0.138969263,246,7
2.910692379,0.632390409,-0.657142857,-0.152173471,247,7
2.376789717,0.651927913,-0.657142857,-0.201876111,248,7
0.915984842,0.687108337,-0.657142857,-0.219813961,249,7
2.39172489,0.662678124,-0.657142857,0.056352968,250,7
0.544188431,0.710837974,-0.657142857,0.327816172,251,7
