CAV,Rrup,Mw,Vs30,zh,
1.0134926,73.82393603,5.2,171.66423,116,5
0.935763463,80.50771371,5.2,307.31921,117,5
0.961974523,53.72409144,5.2,215.21594,118,5
0.577577018,135.0642383,5.2,584.48499,119,5
0.841411934,102.5262562,5.2,416.52783,120,5
0.62060538,79.58572206,5.2,278.27405,121,5
0.601557045,93.11250115,5.2,274.86993,122,5
0.519845376,113.8374466,5.2,228.0233,123,5
0.504776751,118.2283274,5.2,432.8886,124,5
0.726680134,105.7888998,5.2,274.5092,125,5
2.019183623,91.71751722,5.2,333.0297,126,5
1.368485686,75.42432812,5.2,265.5409,127,5
0.736262232,79.97330222,5.2,420.4355,128,5
0.624368295,84.90831178,5.2,307.42,129,5
0.701828351,68.24813268,5.2,522.9963,130,5
0.988613754,59.64144409,5.2,203.2111,131,5
1.097549134,54.98184966,5.2,238.2027,132,5
1.505033821,61.78535228,5.2,246.7284,133,5
2.318055642,67.65433434,5.2,274.122,134,5
1.301438322,53.13916767,5.2,270.7708,135,5
1.312177279,54.43118316,5.2,218.1334,136,5
1.829226651,47.35299506,5.2,281.2124,137,5
1.632770033,52.4125796,5.2,258.5682,138,5
0.63307652,69.24014166,5.2,291.7127,139,5
0.888011562,69.26835178,5.2,136.088,140,5
0.916935099,78.50138925,5.2,119.6667,141,5
0.592003617,82.22826704,5.2,382.2518,142,5
0.659601198,93.41971066,5.2,138.1374,143,5
1.361300552,62.82806882,5.2,89.19601,144,5
0.515006202,103.8973971,5.2,259.5523,145,5
0.512418981,80.94398585,5.2,661.4196,146,5
1.652260364,56.99679904,5.2,156.3224,147,5
0.628904969,71.91668294,5.2,325.5844,148,5
1.058132234,61.50945721,5.2,146.4362,149,5
1.227910306,57.71475985,5.2,120.869,150,5
0.586546418,130.4228628,5.2,399.9957,151,5
0.407616059,142.1005639,5.2,309.6915,152,5
0.722742626,156.8689987,5.2,199.3158,153,5
0.529165852,119.7456679,5.2,353.3482,154,5
0.504872098,115.0984054,5.2,253.6669,155,5
0.634625586,94.44591206,5.2,309.0803,156,5
1.38431179,111.223331,5.2,256.9584,157,5
0.44929939,113.2797267,5.2,523.1513,158,5
0.817108147,70.68653795,5.2,377.0819,159,5
0.762213975,78.89231127,5.2,363.2759,160,5
2.244386225,88.97447336,5.2,421.7628,161,5
0.642779552,81.9604178,5.2,321.4917,162,5
0.888681689,61.76819665,5.2,293.7617,163,5
0.861459832,143.6013319,5.2,430.6437,164,5
2.338825985,106.8725764,5.7,243.39799,165,6
1.405285158,93.54405002,5.7,363.31973,166,6
3.362716615,90.13145549,5.7,206.55794,167,6
1.297597421,97.08912593,5.7,336.31079,168,6
1.729092208,86.66951782,5.7,243.66833,169,6
2.689089633,82.99363226,5.7,248.68715,170,6
2.207826259,85.38230648,5.7,127.1408,171,6
2.016800902,77.51199427,5.7,131.13963,172,6
1.538137405,84.87481287,5.7,245.74942,173,6
1.692639865,77.24717721,5.7,228.96497,174,6
2.868885262,73.77310724,5.7,275.56555,175,6
1.651274109,67.59741254,5.7,290.70941,176,6
3.956902571,72.49397562,5.7,185.37057,177,6
2.798722504,73.54276075,5.7,171.66423,178,6
2.341231716,64.78572101,5.7,166.97049,179,6
3.098174536,67.13756691,5.7,255.86218,180,6
1.970994518,64.13209219,5.7,389.23804,181,6
2.128203865,76.00786646,5.7,144.11224,182,6
1.886383225,66.85064256,5.7,165.19353,183,6
0.927352358,79.3700581,5.7,743.37653,184,6
2.642975526,74.649358,5.7,307.31921,185,6
1.756414288,79.39412704,5.7,215.21594,186,6
0.837702132,163.6568311,5.7,416.52783,187,6
0.929790332,152.5484255,5.7,274.86993,188,6
0.777945601,160.6502464,5.7,274.5092,189,6
1.506354471,151.9677338,5.7,333.0297,190,6
1.890994953,138.2461648,5.7,265.5409,191,6
0.909429369,133.5931197,5.7,522.9963,192,6
1.02185645,130.2332793,5.7,272.6518,193,6
1.475607438,123.0914794,5.7,203.2111,194,6
1.267327135,115.849377,5.7,238.2027,195,6
1.993613524,120.2128744,5.7,246.7284,196,6
1.996864715,118.5254518,5.7,274.122,197,6
1.593833434,110.2786756,5.7,270.7708,198,6
1.868447564,114.6478903,5.7,218.1334,199,6
1.836599295,98.8947575,5.7,281.2124,200,6
1.62746882,99.95031129,5.7,258.5682,201,6
1.096690826,105.7507096,5.7,291.7127,202,6
1.900526395,87.75829796,5.7,136.088,203,6
1.995212333,88.54058192,5.7,119.6667,204,6
0.906521715,84.39401972,5.7,615.7157,205,6
1.572017648,86.63709619,5.7,262.0394,206,6
1.313438812,94.48902949,5.7,382.2518,207,6
0.897380083,111.5055055,5.7,343.7977,208,6
1.500075281,105.3185097,5.7,138.1374,209,6
0.841636807,104.1967839,5.7,375.5872,210,6
0.646968521,114.8896433,5.7,473.4697,211,6
1.753822783,117.6003805,5.7,99.70285,212,6
0.83983366,123.4648196,5.7,396.2268,213,6
2.475026843,121.434178,5.7,89.19601,214,6
2.620021181,111.9666366,5.7,156.3224,215,6
0.959080043,118.788488,5.7,325.5844,216,6
1.922405585,111.2523549,5.7,146.4362,217,6
2.042169477,101.7348152,5.7,120.869,218,6
1.300530769,113.3222146,5.7,298.5533,219,6
0.717793727,123.1537058,5.7,399.9957,220,6
0.792566014,124.1318799,5.7,309.6915,221,6
1.505380125,131.9243469,5.7,199.3158,222,6
0.582587137,186.6933565,5.7,353.3482,223,6
0.521713899,194.2984271,5.7,432.5877,224,6
0.748126792,181.8338936,5.7,253.6669,225,6
1.35458592,161.4573782,5.7,309.0803,226,6
2.288495434,178.2580204,5.7,256.9584,227,6
1.289525207,135.7557695,5.7,377.0819,228,6
1.118012572,144.9990248,5.7,363.2759,229,6
1.910707749,153.7633175,5.7,421.7628,230,6
1.64159651,123.4102243,5.7,253.933,231,6
1.530173578,108.6934997,5.7,321.4917,232,6
1.472484408,105.9798037,5.7,278.458,233,6
1.214213329,106.1134667,5.7,306.3208,234,6
1.529366081,97.36321033,5.7,293.7617,235,6
1.78674645,110.7014928,5.7,430.6437,236,6
1.596882179,84.88980015,5.1,243.39799,237,7
1.514230014,77.602721,5.1,363.31973,238,7
2.195370147,76.68807531,5.1,206.55794,239,7
1.039003452,79.77278085,5.1,243.66833,240,7
1.892433549,76.71292778,5.1,248.68715,241,7
1.336727744,75.31900969,5.1,127.1408,242,7
1.639644514,74.15872675,5.1,131.13963,243,7
0.825607505,84.60299553,5.1,228.96497,244,7
1.807698727,78.48425687,5.1,275.56555,245,7
1.262119496,79.72408422,5.1,290.70941,246,7
2.910692379,75.52481108,5.1,185.37057,247,7
2.376789717,79.53674965,5.1,171.66423,248,7
0.915984842,87.30587,5.1,166.97049,249,7
2.39172489,81.83444056,5.1,255.86218,250,7
0.544188431,92.97041048,5.1,389.23804,251,7
1.472787071,94.66607257,5.1,144.11224,252,7
0.90849402,92.44249556,5.1,165.19353,253,7
1.611872464,83.14844778,5.1,307.31921,254,7
1.410573289,74.08283296,5.1,215.21594,255,7
0.635055024,165.878571,5.1,584.48499,256,7
0.708500144,132.5393294,5.1,416.52783,257,7
0.570147901,111.3369655,5.1,278.27405,258,7
0.614609151,122.4560902,5.1,274.86993,259,7
1.229166234,129.6989826,5.1,333.0297,260,7
1.097106905,114.4688832,5.1,265.5409,261,7
